 Tweet Text, Information Source, Information Type, Informativeness
RT @LASportsRadio: Some guy just got into the LAX airport with a rifle.  Last week LAX security confiscated my hair gel.,Media,Other Useful Information,Related and informative
RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6…,Media,Other Useful Information,Related and informative
"😔 RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",Media,Affected individuals,Related and informative
RT @ABC7News: JUST IN per @911LAPD: Police are responding to a major incident at #LAX. http://t.co/sCgUph2DnU,Media,Affected individuals,Related and informative
RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX,Eyewitness,Affected individuals,Related - but not informative
LAX Airport evacuated after reports of shooting http://t.co/RxZrFn8d1Q,Media,Infrastructure and utilities,Related and informative
"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",Media,Affected individuals,Related and informative
RT @CBCAlerts: Reports of gunfire at the Los Angeles airport. Police say 'major incident' underway. No word on victims. #LAX,Media,Caution and advice,Related and informative
RT @KIRO7Seattle: RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp,Media,Affected individuals,Related and informative
RT @grantimahara: Something just happened at #LAX. TSA and police running everywhere.,Eyewitness,Other Useful Information,Related and informative
RT @grasswire: Person on stretcher loaded into ambulance at #LAX http://t.co/25FzgNKvcn,Media,Affected individuals,Related and informative
LAX Airport being evacuated. Shots fired. Boo.,Outsiders,Other Useful Information,Related and informative
Good heavens! Hope all tuns out well at #LAX Please stay safe everyone. Also AVOID LAX airport right now! #Terminal3,Outsiders,Sympathy and support,Related - but not informative
DEVELOPING: There has been an incident at Los Angeles Intl Airport. Reports are there was a shooting | http://t.co/t65AUJwquP,Media,Other Useful Information,Related and informative
RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6…,Media,Other Useful Information,Related and informative
RT @CBSLA: #UPDATE: Arrival/departure roads closed at #LAX after reports of shots fired in Terminal 3. http://t.co/1bu3zuzflK,Media,Infrastructure and utilities,Related and informative
RT @pornlaw: Shooting at LAX... TSA employee shot. News is reporting that the shooter might have a machine gun/assault rifle....,Media,Affected individuals,Related and informative
RT @katemather: En route to #LAX. Updates as they come @LANow.,Media,Not applicable,Related - but not informative
RT @thinkprogress: Early reports indicate there were two victims down in Terminal 3 at LAX shooting http://t.co/GORdwvqYdS,Media,Affected individuals,Related and informative
RT @thinkprogress: REPORT: Shooting at Los Angeles airport http://t.co/A9Ad45coky,Media,Affected individuals,Related and informative
RT @CaptDaveOnAir: Reports of man with rifle opened fire in terminal 3 at #LAX,Outsiders,Affected individuals,Related and informative
"How did he get a rifle past security? He SHOT his way through, obviously. #LAX",Outsiders,Other Useful Information,Related - but not informative
Reported: Shots fired at LAX...wounded shown leaving airport http://t.co/t5znwUcrMb,Media,Affected individuals,Related and informative
"RT @LATimescitybeat: Frightening scene at LAX, with TSA agent shot, suspect wounded, according to sources. http://t.co/t29Dw05cXQ",Media,Affected individuals,Related and informative
#LAX: Passengers at Terminal 3 of Los Angeles airport evacuated shortly after 9 am local time http://t.co/EqIBSayi5g http://t.co/3Lmnjdv6Wq,Media,Affected individuals,Related and informative
RT @EdJoyce: Los Angeles Airport Police Friday confirmed a shooting took place in Terminal 3 at LAX. Via @CBSLA  http://t.co/ow4OlbjxZS #br…,Media,Affected individuals,Related and informative
RT @GeekNation: Early reports of a shooting at LAX. Terminal being evacuated and all flights postponed.  #LAX,Media,Caution and advice,Related and informative
RT @NBCNews: More: Two victims shot by suspect in LAX reportedly using a rifle,Media,Affected individuals,Related and informative
"My dad and my uncle spend so much time at the airport, I'm so thankful they were both home and safe during the LAX shooting",Outsiders,Sympathy and support,Related - but not informative
RT @Mediaite: WATCH LIVE: Terminal 3 Evacuated After Shooting Incident Reported at LAX Airport http://t.co/nCkHRaYmZs via @mediaite,Media,Other Useful Information,Related and informative
"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",Media,Affected individuals,Related and informative
RT @TheAtlanticWire: Live: Shooting reported at Los Angeles International Airport http://t.co/CFOXiFrCOv,Media,Infrastructure and utilities,Related and informative
RT @PzFeed: BREAKING NEWS: AT LEAST 2 PEOPLE SHOT AT LAX AIRPORT TERMINAL 3. SUSPECT USED A RIFLE. MAJOR CRIME SCENE.,Media,Affected individuals,Related and informative
RT @nbcnightlynews: BREAKING: Shooting reported at Los Angeles Int'l Airport Terminal 3; WATCH LIVE coverage via @NBCLA http://t.co/x1nQ14V…,Media,Caution and advice,Related and informative
RT @LANow: LAX shooting: 1 TSA agent has been shot and a suspect has been wounded according to sources. http://t.co/6LqVr2AoG4,Media,Affected individuals,Related and informative
KTLA news reporting shooting victim at LAX appears to be TSA agent. Anchor: Not clear motive or number of suspects. Rapidly unfolding #LAX,Media,Affected individuals,Related and informative
RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.,Government,Other Useful Information,Related and informative
RT @News1130radio: UPDATE: There are unconfirmed reports a TSA agent was shot at #LAX. Terminals evacuated.,Media,Affected individuals,Related and informative
Thoughts and prayers to any possible victims at LAX,Outsiders,Sympathy and support,Related - but not informative
"RT @BBCBreaking: Police responding to incident at Terminal 3 of Los Angeles #LAX airport in US, @LAX_Official says",Media,Other Useful Information,Related and informative
Thoughts and prayers go out to everyone involved in the ongoing shooting at the LAX Airport. Unfortunate  situation! #StayStrong,Outsiders,Sympathy and support,Related - but not informative
RT @IglooMediaBase: Shots fired at the LAX international airport which is now being evacuated,Media,Caution and advice,Related and informative
RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.,Government,Other Useful Information,Related and informative
RT @USATODAY: MT @911LAPD: “@CHPsouthern: Avoid #LAX at this time. Century Blvd. closed prior to airport entrance. Call airline for info” #…,Media,Infrastructure and utilities,Related and informative
"RT @kron4news: BREAKING: LAPD say shots were fired at #LAX, multiple people injured. http://t.co/SIXzgjJ2S8",Media,Affected individuals,Related and informative
Just heard the news about #LAX. This is insane.,Outsiders,Sympathy and support,Related - but not informative
RT @RickMontanez: #BREAKING: Witness on-air now on @abc7 says he heard three shots at #LAX. Live coverage on @abc30's website. http://t.co/…,Eyewitness,Affected individuals,Related and informative
Shooting Prompts Evacuation Of Terminal 3 At #LAX http://t.co/Ysrnvk8nlP #NEWS,Media,Infrastructure and utilities,Related and informative
RT @PzFeed: SHOOTING AT LAX AIRPORT: -AT LEAST 2 PEOPLE SHOT -8-10 SHOTS FIRED -SUSPECT HAD A RIFLE -TERMINAL 3 EVACUATED,Media,Affected individuals,Related and informative
Trying to find out what happened at #LAX. Apparently there was a shooting,Outsiders,Other Useful Information,Related - but not informative
RT @W7VOA: #LAX is NOT shut down. You can listen to various tower/ground control traffic here: http://t.co/A5NzFx7Jee,Media,Infrastructure and utilities,Related and informative
@piersmorgan so gun control again today? #LAXshooting,Outsiders,Other Useful Information,Related - but not informative
Hope u r not trying to fly in or out of #LAX right now...shots fired at security check point right… http://t.co/07Kh3H0M6D,Eyewitness,Sympathy and support,Related and informative
So my friends were at the lax airport when the jolting happened like an hour ago whaaaaat,Not labeled,Not labeled,Not related
"CNN Airport officials said a police incident began about 9:30 a.m. at Terminal 3 at #LAX, airport spokeswoman @News12LI",Media,Affected individuals,Related and informative
"RT @ABC: Condition of victims at LAX unknown, says LAPD - live coverage: http://t.co/dseRaZYiuP",Media,Affected individuals,Related and informative
The was a shooting in the LAX airport,Outsiders,Other Useful Information,Related - but not informative
RT @RobertTaylors: Shooting Reported at Los Angeles International Airport: There are reports of a shooting incident Friday mornin... http:/…,Media,Other Useful Information,Related and informative
RT @ScottHanson: Shooting at LAX.  Terrible.  Hope the authorities got shooter immediately.  Many @nflnetwork colleagues flying back to LAX…,Outsiders,Sympathy and support,Related - but not informative
RT @grasswire: #LAX UPDATE: Several people have been shot according to LAPD police scanner. Citywide tactical alert declared,Government,Affected individuals,Related and informative
RT @nypost: TSA person yells there is someone shooting. We sprint into runway - #LAX eyewitness accounts from @jforstrom...,Media,Affected individuals,Related and informative
Wow another shooting in an airport in LA,Outsiders,Sympathy and support,Related - but not informative
LA Airport 'Shooting' Prompts Evacuation http://t.co/EBTBxUNWmO,Media,Caution and advice,Related and informative
RT @Michael_Tonge: Prayers up.. Jeez. #laxshooting,Outsiders,Sympathy and support,Related - but not informative
RT @SandraFluke: Frightening shooting here in #LosAngeles @ #LAX. Victims need our prayers now.,Outsiders,Sympathy and support,Related and informative
"RT @BradLtv: #LAX UPDATE: Ground stop now in effect for traffic arriving at Los Angeles Int'l Airport, FAA says -@nbcnightlynews",Government,Infrastructure and utilities,Related and informative
RT @CBSEveningNews: NOW: We're on the air for a @CBSNews special report on the #LAXShooting. @JeffGlor anchors.,Media,Other Useful Information,Related - but not informative
@BloombergNews reports FAA has suspended flights into LAX. #LAXShooting,Media,Infrastructure and utilities,Related and informative
"If you #Follow #LAX make sure you are RT official guidance; verify x 2, tweet once.",Not labeled,Not labeled,Not related
"RT @TheSportsStreet: Breaking: (Non Sports Relating): Shooting at LAX airport, wow.",Media,Affected individuals,Related - but not informative
2nd shooter-WTF?? @LAScanner: LAX *Update: Report of 2nd suspected shooter in custody. LAFD reports total of 4 GSW patients at this time.,Outsiders,Affected individuals,Related and informative
Reports: TSA agent and alleged gunman wounded in shooting at Los Angeles Airport. #LAX http://t.co/b2JGQEhgSO,Media,Affected individuals,Related and informative
#FAA halts flights heading into #LAX (@KTVU),Government,Infrastructure and utilities,Related and informative
RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,Media,Other Useful Information,Related and informative
#BREAKING NEWS: CBS REPORTS A SECOND ARMED MAN IN CUSTODY AT #LAX AIRPORT.,Media,Other Useful Information,Related and informative
"RT @ABC Full story: Several people shot at LAX, one suspect in custody http://t.co/3fl59B4Gg1",Media,Affected individuals,Related and informative
Shooting at LAX Terminal 3. #LAX #Shooting,Media,Other Useful Information,Related and informative
@PoliticsCork: BREAKING: This is the current scene at LAX airport more images to follow. #CP http://t.co/3TROKlcFNh,Media,Other Useful Information,Related and informative
RT @HarrisonAmy: Thinking of anyone in LAX airport or in the area. Hope people are keeping safe.,Outsiders,Sympathy and support,Related - but not informative
RT @Telegraph: Watch live: Los Angeles International Airport evacuated after shots fired http://t.co/CeCBbTFdzF #LAX,Media,Infrastructure and utilities,Related and informative
LAX airport evacuated after shooting \\ Circa \\  http://t.co/tGhJAaBj8M,Media,Infrastructure and utilities,Related and informative
RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,Media,Affected individuals,Related and informative
LAX shooting: Gunman opens fire inside Los Angeles Internationa Airport Terminal 3 http://t.co/ig60g3z1W4 #BreakingNews,Media,Affected individuals,Related and informative
RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,Media,Affected individuals,Related and informative
"#CCOT Shooting at LAX. 2 suspects in custody. 3 victims, per CBS news! Suspects in custody wearing camouflage clothing targeted TSA agents!",Media,Affected individuals,Related and informative
"@topenews not several injured is top news, but stars evacuated. Joke journalism #lax",Media,Affected individuals,Related - but not informative
"LAX Shooting: Officials Confirm 'Incident' At Airport, Witnesses Hear Gunshots: http://t.co/PZojzPXpHf",Media,Other Useful Information,Related and informative
RT @nbcnightlynews: LATEST: Suspect pulled out rifle and shot document checker at TSA checkpoint at LAX - @PeteWilliamsNBC reports,Media,Affected individuals,Related and informative
RT @BuzzFeed: There Are Reports Of A Shooting At Los Angeles International Airport http://t.co/9TgunRXajQ,Media,Other Useful Information,Related and informative
"BREAKING: Incident reported at #LAX #shooting terminal, airport being evacuated. http://t.co/KjTgC4ATM9",Media,Infrastructure and utilities,Related and informative
@AlArabiya_Eng: #BreakingNews: Shooting at Los Angeles Airport wounds three http://t.co/Qdd4jGcB9v via @AlArabiya_Eng,Media,Affected individuals,Related and informative
BREAKING: Reports of Shooting at LAX airport http://t.co/9kPRc4qxih ^nk,Media,Affected individuals,Related and informative
RT @RT_com: #LAX UPDATE: At least two people shot in Los Angeles airport  http://t.co/eUIMXsS0KA,Media,Affected individuals,Related and informative
Thoughts are with all those affected by #LAXShooting - just senseless!,Outsiders,Sympathy and support,Related - but not informative
RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,Media,Affected individuals,Related and informative
RT @911LAPD: #LAPD Central Bureau is now also on TACTICAL ALERT due to the incident @LAX_Official #LAX #poltwt,Government,Other Useful Information,Related and informative
Shootings at Los Angeles International Airport inside Terminal 3 this morning; at least one TSA employee among... http://t.co/ZB8l4ZUekF,Media,Affected individuals,Related and informative
crazy shooting at #LAX,Outsiders,Other Useful Information,Related - but not informative
"Brandvæsnet har gjort klar til flere sårede i #LAX. Rød er til alvorligt sårede, grøn til lettere - via @cnnbrk http://t.co/NaQxrNmx3Q",Not labeled,Not labeled,Not applicable
RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.,Business,Affected individuals,Related and informative
RT @Jay_aRe76: I smell another #falseflag #LAX,Not labeled,Not labeled,Not related
RT @KNX1070: #BREAKING #KCAL9 airborne reporter says second suspect taken into custody in #LAX shooting,Media,Affected individuals,Related and informative
#LAX son of a bitch deserves to be hung by the balls and tortured one body part at a time till he finally dies  😡🔪🔫 #angry,Outsiders,Not applicable,Related and informative
"Shots fired at LAX, airport evacuated: ABC7 in Los Angeles reports that a TSA employee was shot at a security... http://t.co/QbF0KOtN7s",Media,Affected individuals,Related and informative
It's always awesome to hear about a shooting at an airport you're scheduled to fly to within the month. #LAX,Outsiders,Not applicable,Related - but not informative
It's so weird I was there days ago in the same terminal #LAX #PrayForLAX,Outsiders,Other Useful Information,Related - but not informative
"RT @GlobalGrindNews: UPDATE: Shooting has ended, 2nd suspect taken into custody. More details to come... http://t.co/vRItUdL8uY #LAXshooting",Media,Other Useful Information,Related and informative
RT @JUDiJAiKRAZi: Prayers going out to the victims at #LAX 🙌❤,Outsiders,Sympathy and support,Related - but not informative
"RT @ABCWorldNews: MORE: Three people shot, suspect in custody in Los Angeles airport shooting http://t.co/6Y6SOtBdiy",Media,Affected individuals,Related and informative
RT @THECOUNTnews: PHOTO: TSA AGENT SHOT IN CHEST! #LAXSHOOTING  http://t.co/GtmFrXDHla via @TheCountNews,Media,Affected individuals,Related and informative
"RT @ThisIsFusion: 3 people shot at LAX, suspect in custody via @ABC",Media,Affected individuals,Related and informative
"RT @VibeMagazine: BREAKING: Gunman shoots several people at LAX, one suspect reportedly in custody http://t.co/RqRSWA7rgc",Media,Affected individuals,Related and informative
Hasta el momento no hay información oficial sobre el #LAX. Los rumores es que hay un sospechoso detenido pero se cree que hay más implicados,Not labeled,Not labeled,Not applicable
RT @seguifox13: BREAKING: LAPD says several shot at LAX airport,Media,Affected individuals,Related and informative
RT @detroitnews: Live video and Storify coverage: Shots reportedly fired at Los Angeles airport. #LAX http://t.co/W0ZK9MIEee,Media,Other Useful Information,Related and informative
"No safe place in the world@VibeMagazine: Gunman shoots several people at LAX, one suspect reportedly in custody http://t.co/ZtyRGuz2gc",Media,Affected individuals,Related and informative
Stuck at LAX. Someone opened fire on a TSA agent. Multiple victims. Locked down for who knows how long. Nothing going in or out.,Eyewitness,Affected individuals,Related and informative
RT @ezralevant: Los Angeles TV stations showing video feed of possible terrorist shooting at LAX airport. Toronto TV showing Rob Ford drivi…,Outsiders,Other Useful Information,Related and informative
"RT @AaronKatersky: #LAX witness tells @ABCNewsRadio gunman “looked at me and asked TSA? When witness shook head, suspect moved on. http:…",Outsiders,Affected individuals,Related and informative
What's happened at #LAX? Hope everyone's okay x,Outsiders,Sympathy and support,Related - but not informative
My thoughts go out to everyone involved in the #LAXShooting. Hug your family and friends a little tighter today.,Outsiders,Sympathy and support,Related - but not informative
RT @Chris_Chmura: Live air traffic map for #LAX eerily light due to ground stop following #LAXShooting. Image: @FlightAware #travel http:…,Media,Other Useful Information,Related and informative
"LAX Shooting: Officials Confirm 'Incident' At Airport, Witnesses Hear Gunshots http://t.co/dzwGwoNtOa via @HuffPostCrime",Eyewitness,Other Useful Information,Related and informative
RT @CHPsouthern: ADVISORY: Avoid LAX at this time. Century Blvd. closed prior to airport entrance. Call your airline for info. @LAX_Official,Government,Caution and advice,Related and informative
RT @CBSEveningNews: Photo from the scene of the evacuation at the #LAXshooting from photojournalist Eric Kayne (@photokayne): http://t.co/A…,Media,Affected individuals,Related and informative
RT @alertpage: #LAX At least one critical gunshot victim transported early on from LAX.,Outsiders,Affected individuals,Related and informative
@KariByron  Shooting.  Follow #LAX,Outsiders,Other Useful Information,Related - but not informative
RT @ABC7: #LAX UPDATE: Ground stop issued for all flights coming into or leaving LAX http://t.co/u5lTveArpy via @ABC7Alysha,Not labeled,Not labeled,Not related
RT @theblaze: Shooting reported at Los Angeles International Airport - stay with @TheBlaze for updates: http://t.co/iiCqLIpa4S,Media,Affected individuals,Related and informative
RT @LauraWalkerKC: Reports the #LAX shooter had a rifle seem weird.  Handgun more likely imho.,Media,Other Useful Information,Related and informative
"shooting at LAX airport, reasons i dislike people.",Outsiders,Other Useful Information,Related - but not informative
RT @cbschicago: A shooting has prompted the evacuation of Terminal 3 at #LAX. Full story at @CBSLA: http://t.co/CpyJyTXSIh,Media,Infrastructure and utilities,Related and informative
@BasedBieberLife LA Airport 'Shooting' Prompts Evacuation: The Los Angeles Fire Department says it is assisting law enforce...  @deadmau5,Outsiders,Other Useful Information,Related and informative
RT @CBCAlerts: Initial reports say gunman targeted #TSA agents at Los Angeles Airport. Conflicting reports re: suspect in custody. #LAX,Media,Affected individuals,Related and informative
RT @FoxNews: Witness says he heard about a dozen gunshots from inside the security gate at Terminal 3 http://t.co/o9YYW3qWPW #LAX,Media,Affected individuals,Related and informative
RT @USRealityCheck: Happening Now: Shooting at Los Angeles Intl Airport: A shooting has been reported at th... http://t.co/qAVobf7MBA http:…,Media,Affected individuals,Related and informative
RT @ToryBelleci: People are still being shuttled in to a secured location. Nerves are starring to settle. #LAXshooting http://t.co/7N9SIDp8…,Eyewitness,Affected individuals,Related and informative
RT @Bossip: They Shootin’! LAX Evacuates Terminal 3 After TSA Agent Is Shot And Suspect Is Wounded In Airport Gunfire http://t.co/SAr6L5ONT0,Media,Affected individuals,Related and informative
RT @spencerspellman: WHAT?! Via @NYDailyNews: #LAX: Gunman opens fire at LAX http://t.co/P3CTRWR9XR,Media,Affected individuals,Related and informative
"RT @DamianISmith: @UniteRight @NPJules #LAXShooting Whaaat..? How did this happen? Didn't LA ban guns? Yeah, guess once again, bad people d…",Outsiders,Other Useful Information,Related - but not informative
Evacuation at Los Angeles airport after reports of shooting: At least one terminal of Los Angeles' internation... http://t.co/KZW840h4Ws,Media,Infrastructure and utilities,Related and informative
RT @jackmooring: Praying for the victims at LAX. God help us,Outsiders,Sympathy and support,Related - but not informative
FAA - Report of no departures from #LAX until further notice.,Government,Infrastructure and utilities,Related and informative
RT @KVUE: LIVE COVERAGE: Three people shot at #LAX; suspect in custody: http://t.co/0wa3xz4ZU5,Media,Affected individuals,Related and informative
"LAX shooting: Shots fired at Los Angeles International Airport, multiple injuries  http://t.co/sbfBcKrnnt",Media,Affected individuals,Related and informative
Shots fired at #LAX...  it's reported that the suspect is in custody. 2-3 injured. I'm sure all flights will be delayed for at least 24hrs,Outsiders,Affected individuals,Related and informative
RT @FoxNews: Passengers evacuated from terminal at Los Angeles International Airport after reports of gunshots http://t.co/o9YYW3qWPW #LAX,Media,Affected individuals,Related and informative
RT @AP: MORE: Possible shooting reported at Los Angeles airport: http://t.co/3GfYSGjjAt -CJ,Media,Affected individuals,Related and informative
"NBC News: At least 3 hurt, unknown if shooter is among injured. At least 1 in custody. President Obama briefed on #LAXShooting. @NBCLA",Media,Affected individuals,Related and informative
RT @HeadIineNews: LAPD now reporting Ex-NSA chief Michael Hayden shot dead at #LAX Radical Christian group claims responsibility on its web…,Media,Affected individuals,Related and informative
#LAX shooting: Graphic based on reports of shooting in Terminal 3 http://t.co/x1L5jesFuI,Media,Affected individuals,Related and informative
"RT @itele: Fusillade à l'aéroport de Los Angeles : les terminaux 1,2 et 3 ont été fermés #USA #LAX",Not labeled,Not labeled,Not applicable
Denver Int'l Airport @DENAirport  DIA operations are normal. Passengers from DEN to LAX should check flight status w/airlines,Media,Infrastructure and utilities,Related and informative
Que carajo tienen los gringos en la cabeza que les encanta entrar a un sitio y dispararle a la gente? #LAXShooting,Not labeled,Not labeled,Not applicable
RT @yarotrof: Unconfirmed reports that ex NSA chief was gunned down in Los Angeles airport shooting  http://t.co/mEYBIIckDb,Outsiders,Affected individuals,Related and informative
Los Angeles International Airport evacuatd aftr shots reportedly fird http://t.co/Le0KC225JC #CNN #gunfire #LAX #police,Media,Infrastructure and utilities,Related and informative
They caught the dude that shot up #Lax,Outsiders,Other Useful Information,Related - but not informative
Niggas shooting in an airport now smh,Outsiders,Sympathy and support,Related - but not informative
RT @dyrbert: Are my LA peeps alright? #LAXshooting,Outsiders,Affected individuals,Related - but not informative
"RT @NBCLA: Early reports: 3 people wounded, including TSA agent, in #LAX shooting http://t.co/exk3bk4Tmv",Media,Affected individuals,Related and informative
RT @SkyNewsBreak: Update - Officials say three people injured including gunman following shooting at Terminal 3 at Los Angeles Airport,Media,Affected individuals,Related and informative
RT @pascaljosh: Being told to step around bullet casings or blood.  As lots of evidence in the terminal. #LAX,Eyewitness,Affected individuals,Related and informative
Are you scheduled to fly to LAX today? Shooting at airport may cause major delays. Follow @kpcc for updates.,Media,Caution and advice,Related and informative
"RT @cnnbrk: Suspect at LAX was shot and is in police custody, source says. http://t.co/6iPMwBpriM",Media,Sympathy and support,Related and informative
RT @realtimwilliams: #BREAKING: Photo of alleged gun in #LAX shooting. Passengers told to step around bullet casings. via @pascaljosh http:…,Media,Affected individuals,Related and informative
You don't know what's going on at #LAX  but still post Facebook posts blaming someone. I get it that you are the worst kind of person.,Outsiders,Sympathy and support,Related - but not informative
RT @ibpluckin: Wow. Shooting at LAX airport. Completely closed down. Traffic backup for countless miles. Glued to the news.,Outsiders,Infrastructure and utilities,Related and informative
RT @pascaljosh: Better shot of the rifle. #LAX http://t.co/hOYpBaZs32,Outsiders,Other Useful Information,Related - but not informative
RT @pascaljosh: There looks to be a rifle on the floor guarded by a police officer. #LAX http://t.co/7N368MKMi1,Outsiders,Other Useful Information,Related and informative
RT @RaniaKhalek: NBC News reporting that gunman is in custody. #LAXshooting,Outsiders,Other Useful Information,Related and informative
FAA Orders Ground Stop At #LAX After Shooting: No flights are departing from Los Angeles… http://t.co/W2ZDEIM2Cp,Government,Infrastructure and utilities,Related and informative
RT @globeandmail: #Breaking: Ex-NSA chief Michael Hayden shot dead at L.A. airport: report http://t.co/RGs4k9tUT2 #LAX,Media,Affected individuals,Related and informative
RT @grasswire: Locked in Virgin lounge with gunfire in airport. Very scary scene. #lax I heard at least 15 shots. - @M1970D:,Eyewitness,Affected individuals,Related and informative
RT @WPTV: PHOTOS: Shooting at Los Angeles International Airport http://t.co/lUS2hzenyg,Media,Other Useful Information,Related and informative
"@AnthonyCumia How about the odds it was personal, over a woman, and nothing to do with his job or the airport at all? #LAXshooting",Outsiders,Other Useful Information,Related - but not informative
"RT @JerseyDemic: Shooting at LAX airport? Honestly my next thought is, make sure to fly into Burbank instead.  Then i wonder if the person …",Outsiders,Sympathy and support,Related - but not informative
RT @ksatnews: STREAMING NOW: Live coverage from Los Angeles of #LAXShooting: http://t.co/sBG2h7b0vZ #KSATnews,Media,Other Useful Information,Related and informative
Our thoughts and prayers go out this morning to the victims at LAX. Here's to hoping for a speedy resolution to... http://t.co/EPO2a3GACD,Outsiders,Sympathy and support,Related - but not informative
"RT @ToryBelleci: It's filling up inside the secured area. People are mostly calm now, but very upset. #LAXshooting http://t.co/TAgllmSu9K",Eyewitness,Affected individuals,Related and informative
yet another nutjob with a gun killing randomly in America #NotSurpisedAnymore #LAX,Outsiders,Sympathy and support,Related - but not informative
Police: Shots fired at LAX airport: CNN's Michael Holmes and Suzanne Malveaux report on an incident at Los Ang... http://t.co/yIgZGNXnii,Media,Other Useful Information,Related and informative
Police: Shots fired at LAX airport: CNN's Michael Holmes and Suzanne Malveaux report on an incident at Los Ang... http://t.co/ZhSo3P4Li7,Media,Affected individuals,Related and informative
RT @pascaljosh: Better shot of the rifle. #LAX http://t.co/hOYpBaZs32,Not labeled,Not labeled,Not related
RT @el_pais: ÚLTIMA HORA Un tiroteo en el aeropuerto de Los Ángeles obliga a evacuar una terminal http://t.co/uhDyoyQGFb #LAX,Not labeled,Not labeled,Not applicable
RT @BuzzFeedNews: LAX UPDATE (per @LAX_Official):  - One suspect in custody  - Multiple shooting victims confirmed  - Press conference at 1…,Media,Affected individuals,Related and informative
The world is a scary place #LAX #SendingPrayers,Outsiders,Sympathy and support,Related - but not informative
RT @SEBHEUPDATE: Shooting at Los Angeles airport http://t.co/CuxYPlgs2x #SEBHEUPDATE,Media,Infrastructure and utilities,Related and informative
RT @peoplemag: LAX shooting: People at the airport share what's happening in real-time. http://t.co/Xl9XiKeU2c,Media,Other Useful Information,Related and informative
RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,Media,Affected individuals,Related - but not informative
